date,sender_id,message
2024-12-07 02:48:50+00:00,,"🎇GOOD MORNING  TRADERS 🎇

🎇👍 ENJOY YOUR  WEEKEND 👍🎇"
2024-12-06 17:30:09+00:00,,"PAYMENT IS BEING SENT TO ALL ONE BY ONE 

⭐️🚀 TODAY  PAYMENT🚀 ⭐️

PAYMENT ARE TODAY SLOT IS SUCCESSFUL 

STILL IF SOMEONE HAS NOT RECEIVED THE PAYMENT THEN HE CAN MESSAGE ON 

@DANNY_SIR_OFFICIALL✅️"
2024-12-04 04:32:18+00:00,,"BANKNIFTY 53700 CE

 BUY  ABOVE 497

SL NEAR BUYING PRICE 

TARGET 🎯 OPEN"
2024-12-04 04:28:52+00:00,,🔥🔥574
2024-12-04 04:28:52+00:00,,🔥🔥572
2024-12-04 04:28:52+00:00,,🔥🔥570
2024-12-04 04:28:52+00:00,,🔥🔥568
2024-12-04 04:28:52+00:00,,🔥🔥566
2024-12-04 04:28:52+00:00,,🔥🔥564
2024-12-04 04:28:52+00:00,,🔥🔥562
2024-12-04 04:28:52+00:00,,"460 TO 560

Super jackpot done ✅✅😎😎😎"
2024-12-04 04:25:59+00:00,,ALL TARGET DONE ✅
2024-12-04 04:25:59+00:00,,🔥🔥560
2024-12-04 04:25:59+00:00,,🔥🔥558
2024-12-04 04:25:59+00:00,,🔥🔥556
2024-12-04 04:25:59+00:00,,🔥🔥554
2024-12-04 04:25:59+00:00,,🔥🔥552
2024-12-04 04:25:59+00:00,,🔥🔥550
2024-12-04 04:25:59+00:00,,🔥🔥548
2024-12-04 04:22:04+00:00,,🔥🔥546
2024-12-04 04:22:04+00:00,,🔥🔥544
2024-12-04 04:22:04+00:00,,🔥🔥542
2024-12-04 04:22:04+00:00,,🔥🔥540
2024-12-04 04:16:47+00:00,,🔥🔥538
2024-12-04 04:16:47+00:00,,🔥🔥536
2024-12-04 04:16:47+00:00,,🔥🔥534
2024-12-04 04:16:47+00:00,,🔥🔥532
2024-12-04 04:16:47+00:00,,SECOND TARGET DONE ✅
2024-12-04 04:15:42+00:00,,🔥🔥530
2024-12-04 04:15:42+00:00,,🔥🔥528
2024-12-04 04:15:42+00:00,,🔥🔥526
2024-12-04 04:15:42+00:00,,🔥🔥524
2024-12-04 04:15:42+00:00,,🔥🔥522
2024-12-04 04:15:42+00:00,,🔥🔥520
2024-12-04 04:15:42+00:00,,🔥🔥518
2024-12-04 04:15:42+00:00,,🔥🔥516
2024-12-04 04:13:35+00:00,,Safe traders focus on scalping
2024-12-04 04:09:24+00:00,,🔥🔥514
2024-12-04 04:09:24+00:00,,🔥🔥512
2024-12-04 04:09:00+00:00,,🔥🔥510
2024-12-04 04:09:00+00:00,,🔥🔥508
2024-12-04 04:09:00+00:00,,🔥🔥506
2024-12-04 04:09:00+00:00,,🔥🔥504
2024-12-04 04:09:00+00:00,,🔥🔥502
2024-12-04 04:06:24+00:00,,FIRST TARGET DONE ✅
2024-12-04 04:06:24+00:00,,🔥🔥500
2024-12-04 04:06:24+00:00,,🔥🔥498
2024-12-04 04:06:24+00:00,,🔥🔥496
2024-12-04 04:06:24+00:00,,🔥🔥494
2024-12-04 04:06:24+00:00,,🔥🔥492
2024-12-04 04:06:24+00:00,,🔥🔥490
2024-12-04 04:06:24+00:00,,🔥🔥488
2024-12-04 04:06:24+00:00,,🔥🔥486
2024-12-04 04:06:24+00:00,,🔥🔥484
2024-12-04 04:06:23+00:00,,🔥🔥482
2024-12-04 04:06:23+00:00,,🔥🔥480
2024-12-04 04:06:23+00:00,,🔥🔥478
2024-12-04 04:03:45+00:00,,🔥🔥476
2024-12-04 04:02:11+00:00,,"ADANIENT 2500 CE BUY ABOVE 115


SL BUYING NEAR PRICE

TARGET 🎯 125/130"
2024-12-04 04:00:26+00:00,,🔥🔥474
2024-12-04 04:00:26+00:00,,🔥🔥472
2024-12-04 04:00:26+00:00,,🔥🔥470
2024-12-04 04:00:26+00:00,,🔥🔥468
2024-12-04 04:00:26+00:00,,🔥🔥466
2024-12-04 04:00:26+00:00,,🔥🔥464
2024-12-04 04:00:26+00:00,,🔥🔥462
2024-12-04 03:48:51+00:00,,"BANKNIFTY 53600 CE 

BUY ABOVE 460

SL NEAR BUYING PRICE 

TARGET 🎯 500/530/560+"
2024-12-04 02:39:48+00:00,,"Now Investment Slot Start on 11:00AM 📛🚀

LOSS RECOVER BOOSTER SLOT

Interested People Can Message on 👎

@DANNY_SIR_OFFICIALL✅️"
2024-12-04 02:35:30+00:00,,"⭐️ Slot time - 11:00AM    ⭐️

⭐️Seat limit - 10                ⭐️

⭐️Seat Available - 08        ⭐️

⭐️Old Seat -  02left           ⭐️

⭐️New Seat - 06left          ⭐️

⭐️Amt Return - 02:00PM ⭐️"
